code,severity,fields
masterbelt.lexer.unexpected_character,error,char:rune
masterbelt.lexer.unterminated_block_comment,error,
masterbelt.lexer.unterminated_string,error,
masterbelt.lexer.invalid_escape,error,escape:string
masterbelt.lexer.invalid_unicode_escape,error,escape:string
masterbelt.parser.concrete.expected_const,error,
masterbelt.parser.concrete.expected_identifier,error,
masterbelt.parser.concrete.expected_type,error,
masterbelt.parser.concrete.expected_assign,error,
masterbelt.parser.concrete.expected_expression,error,
masterbelt.parser.concrete.unexpected_token,error,kind:string
masterbelt.parser.concrete.expected_operand,error,operator:string
masterbelt.parser.concrete.expected_from,error,
masterbelt.parser.concrete.expected_path,error,
masterbelt.semantic.duplicate_declaration,error,name:string
masterbelt.semantic.undefined_name,error,name:string
masterbelt.semantic.unknown_type,error,name:string
masterbelt.semantic.cyclic_reference,error,name:string
masterbelt.semantic.constant_overflow,error,value:string typ:string
masterbelt.semantic.invalid_operation,error,method:string types:string
masterbelt.semantic.division_by_zero,error,
masterbelt.semantic.type_mismatch,error,actual:string expected:string
masterbelt.semantic.uninferable_collection,error,
masterbelt.semantic.uninferable_result,error,
masterbelt.semantic.uninferable_parameter,error,name:string
masterbelt.semantic.lambda_arity_mismatch,error,actual:int expected:int
project.config.missing,error,
project.config.invalid,error,detail:string
project.config.missing_entry,error,
project.config.entry_not_found,error,path:string
project.config.profile_missing_entry,error,profile:string
project.config.profile_entry_not_found,error,profile:string path:string
project.config.unknown_profile,error,profile:string
