code,message
masterbelt.lexer.unexpected_character,unexpected character: {char}
masterbelt.lexer.unterminated_block_comment,unterminated block comment
masterbelt.parser.concrete.expected_const,expected 'const'
masterbelt.parser.concrete.expected_identifier,expected identifier
masterbelt.parser.concrete.expected_type,expected type
masterbelt.parser.concrete.expected_assign,expected '='
masterbelt.parser.concrete.expected_expression,expected expression
masterbelt.parser.concrete.unexpected_token,unexpected token: {kind}
masterbelt.parser.concrete.expected_operand,expected operand after '{operator}'
masterbelt.semantic.duplicate_declaration,duplicate declaration of {name}
masterbelt.semantic.undefined_name,undefined name: {name}
masterbelt.semantic.unknown_type,unknown type: {name}
masterbelt.semantic.cyclic_reference,cyclic reference involving {name}
masterbelt.semantic.constant_overflow,constant {value} overflows {typ}
