code,message
masterbelt.lexer.unexpected_character,予期しない文字: {char}
masterbelt.lexer.unterminated_block_comment,ブロックコメントが閉じられていません
masterbelt.parser.concrete.expected_const,'const' が必要です
masterbelt.parser.concrete.expected_identifier,識別子が必要です
masterbelt.parser.concrete.expected_type,型が必要です
masterbelt.parser.concrete.expected_assign,'=' が必要です
masterbelt.parser.concrete.expected_expression,式が必要です
masterbelt.parser.concrete.unexpected_token,予期しないトークン: {kind}
masterbelt.parser.concrete.expected_operand,'{operator}' の後にオペランドが必要です
masterbelt.semantic.duplicate_declaration,{name} が重複して宣言されています
masterbelt.semantic.undefined_name,未定義の名前: {name}
masterbelt.semantic.unknown_type,未知の型: {name}
masterbelt.semantic.cyclic_reference,{name} を含む循環参照です
masterbelt.semantic.constant_overflow,定数 {value} は {typ} に収まりません
